,Language,Framework,Database,OS,Platform,Others
102,,,,windows,,"network administration,wan,technical support,troubleshooting,dns,windows server,management,microsoft office,routers,leadership,active directory,security,communication,encryption,firewalls,servers,system administration,switches,lan,avaya"
103,,,,,,"project management,sharepoint,it management"
104,java,spring,,,,"apis,integration,html5,distributed systems,scripting,rest,angular,guidewire,css,json,business requirements,angularjs,continuous integration"
105,"r,sql,python",,,,,"apache spark,apache pig,machine learning,data science,natural language processing,hadoop,statistical modeling,data modeling,apache hive,shell scripting"
106,sql,,oracle,,,"pl,trading,trading systems"
107,scala,,,,google cloud platform,"apache spark,hadoop,kibana,apache airflow,big data,tableau,amazon web services,windows azure"
108,,jquery,,,,".net,html5,css,jira,web development,visual studio,scrum,windows azure,agile methodologies,microsoft dynamics 365"
109,,jquery,,,,".net,html5,angular,css,sql server,jira,web development,scrum,windows azure,agile methodologies,microsoft dynamics 365"
110,"java,ruby,python",,,,linux,"perl,testng,selenium,continuous integration,shell scripting,git,automation"
111,,,,,,"juniper,network administration,wan,routers,firewalls,switches,data center,networking"
112,,,,,,"scrum,ecommerce,b2c,selenium,quality assurance"
113,"typescript,javascript",ruby on rails,postgresql,,,"angular,agile methodologies"
114,,,,,,"sap sd,sap mm,sap"
115,,,,windows,,"vmware,change management,management,ccna,security+,sscp,nist,testing,unix,program management,itil"
116,"sql,javascript",,,,,"css,html,quality assurance"
117,php,,,,"linux,docker","vmware,active directory,shell scripting,amazon web services,ldap,networking,dns,troubleshooting,openstack,storage,red hat,centos,windows azure,git,puppet"
118,"php,c#,sql",asp.net,,,,"integration,.net core,web services,testing,lead generation,sql server,management,amazon web services,saas,delphi,git,computer science,marketing,visual studio,.net"
119,"javascript,java","spring,react.js",,,"kubernetes,docker","object oriented programming,selenium,angular,angularjs,object oriented design"
120,"javascript,sql,java",react.js,,,,"sdlc,amazon web services,test automation,nosql,angularjs,windows azure"
121,java,"spring,jquery",,,,"security,monitoring,communication,ip,management,computer science,j2ee,struts,compliance,angular,nessus,threat modeling,dast,sast"
122,sql,,,,,"information technology,tableau,finance"
123,"ruby,c,c++,python,java",,,,,"cloud computing,algorithms,software architecture,amazon web services,networking,security,communication,leadership,vulnerability,data structures,cryptography,perl,bash,computer science,scripting"
124,java,,,,,"management,amazon web services"
125,,,,,,"integration,pricing,cpq"
126,,,,,,"analysis,visio,sharepoint,communication"
127,,,,,,"routers,ccna,switches,troubleshooting,cisco technologies"
128,"javascript,sql,ruby,scala,java,python,php",,,,,"perl,algorithms,databases,system architecture,css,html,testing,data structures,node.js"
129,sql,react.js,,,"kubernetes,docker","node.js,user experience,algorithms,communication,unix,graphql,distributed systems,devops,rest,microservices,data structures"
130,javascript,react.js,,,,"process improvement,algorithms,communication,jenkins,sumo logic,teamwork,data structures,automation,node.js"
131,,,,,,"analysis,telecommunications,financial analysis,information technology,communication,microsoft office,powerpoint,management,strategic partnerships,account management"
132,"ruby,c++,python",,mysql,windows,"linux,docker","cybersecurity,integration,saltstack,ldap,dns,testing,powershell,jenkins,subversion,vmware,ubuntu,analysis,management,security+,networking,continuous integration,agile methodologies,physics,gcc,automation,active directory,pair programming,authentication,devops,debugging,fedora,clang,git,ip,information technology,bash,computer science,chef,ansible,visual studio,puppet"
133,,,,,,"analysis,application development,testing,management,computer science,strategy,project management,workday,performance tuning,requirements gathering"
134,"java,sql,c++,c#",,,,,"erp,analysis,.net,computer science,peoplesoft,sap,cobol,workday,performance tuning,visual basic"
135,"java,php",react.js,"postgresql,mysql",,linux,"jira,amazon web services,intellij idea,open source,git,jenkins"
136,,,,,,"enterprise architecture,data modeling,communication,big data"
137,"r,sql,python",,,,,"power bi,marketing strategy,tableau,social media"
138,"javascript,java",spring,,,,"communication,j2ee,web services"
139,javascript,asp.net,,,,html
140,,,,,,"routers,switches,cisco technologies,troubleshooting"
141,"c++,sql,python,java",,"oracle,mysql",,linux,"maven,troubleshooting,nosql,testing,jira,open source,jenkins,iot,analysis,unix,management,automation,sdlc,wireless,communication,test automation,rest,tomcat,git,waterfall,data analysis,computer science"
142,"sql,java",spring,"oracle,postgresql",,"docker,kubernetes","maven,jpa,sql server,microservices,jenkins,management,mvc,project management,security,communication,devops,databases,leadership,angular,ansible"
143,"java,sql,c",spring,oracle,,,"analysis,optimization,hibernate,unix,communication,computer science,teradata,statistics,jdbc,scripting,etl"
144,,,,,,"apis,analysis,communication,management,computer science,statistics,rest,json,system architecture"
145,,,,,,"confluence,csm,databases,project management,pmp,web applications,jira,scrum"
146,,,,,,"cisa,information security,security,communication,management,technical support,encryption,databases,authentication,project management,sox,compliance,pci,storage,gsec,operating systems,finance"
147,,,,,,"user experience,security,process improvement,scrum,wireless,analysis,management,communication,computer science,leadership,project management,compliance,vendor management,agile methodologies,automation,analytics"
148,"sql,java",spring,"oracle,mysql",windows,linux,"testing,analysis,soap,unix,system design,tensorflow,analytics,eclipse,communication,databases,rest,postman,operating systems,data structures,monitoring,computer science,scripting,tableau"
149,"sql,sql",,oracle,,linux,"analysis,pl,unix,business intelligence,requirements analysis,cognos,databases,informatica,tableau,testing,jira,etl"
150,,,,,,"apis,analysis,hadoop,test cases,computer science,test case,rest,big data,selenium,angular"
151,"scala,sql,java",,"oracle,postgresql",,,"data mining,big data,testing,data warehousing,sql server,microservices,etl,apache spark,analysis,xml,system design,compliance,apache,analytics,communication,databases,data structures,monitoring,gdpr,problem solving,computer science,teradata,database development,tableau"
152,python,,elasticsearch,,"linux,kubernetes,docker","integration,technical support,troubleshooting,cloudformation,jira,shell scripting,weblogic,microservices,jenkins,ubuntu,unix,management,kibana,continuous integration,centos,disaster recovery,apache,automation,security,confluence,springboot,devops,j2ee,rest,tomcat,ip,middleware,monitoring,solaris,ip,websphere,bash,logstash,tcp,scripting,openstack,ansible,unix shell scripting,datadog,puppet"
153,"javascript,java,sql,sql",spring,oracle,,,"web services,oracle database,weblogic,soap,xml,pl,jdbc,mvc,html,sdlc,ajax,j2ee,struts,rest,information technology,servers,computer science,angular"
154,java,"spring,jquery",,,,"security,monitoring,communication,ip,management,computer science,j2ee,project management,struts,compliance,angular,nessus,threat modeling,dast,sast"
155,"c++,python",,,,,"signal processing,opencv,keras,computer vision,tensorflow,embedded systems"
156,"c++,python",,,,,"regression testing,keras,algorithms,tensorflow,clustering,embedded systems,artificial intelligence"
157,,,,,,"cfr,team management,management"
158,,,,,,"project planning,management"
159,"sql,scala,python",,,,,"data modeling,team leadership,data architecture,etl"
